Critical Gender Studies,CR25,CGS 100A,CGS 100B,CGS 2A,CGS 2B,CGS Adv. Course,CGS Adv. Course,CGS Adv. Course,CGS Inter. Course,CGS Inter. Course,CGS Inter. Course,CGS UD Elective,CGS UD Elective,CGS UD Elective,CGS UD Elective,UD ELECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Science,DS25,COGS 9,DSC 10,DSC 100,DSC 102,DSC 106,DSC 140A*,DSC 140B*,DSC 148*,DSC 180A,DSC 180B,DSC 20,DSC 30,DSC 40A,DSC 40B,DSC 80,DSC 96*,ECON 120A or MATH 183 or MATH 180A*,MATH 18,MATH 189 (if not yet completed),MATH 189 or MATH 181A*,MATH 20A,MATH 20B,MATH 20C,SUBJECT DOMAIN 1,SUBJECT DOMAIN 2,UD Major Elective 1 (if MATH 180A not taken),UD Major Elective 2,UD Major Elective 3,UD Major Elective 4,UD Major Elective 5,,,,,,,,,,,,,
Economics,EN25,ECON 1,ECON 100A,ECON 100B,ECON 100C,ECON 110A,ECON 110B,ECON 120A,ECON 120B,ECON 120C,ECON 3,ECON UD Elective*,ECON UD Elective*,ECON UD Elective*,ECON UD Elective*,ECON UD Elective*,MATH 20A (OR 10A),MATH 20B (OR 10B),MATH 20C (OR 10C),,,,,,,,,,,,,,,,,,,,,,,,,
Joint Major Mathematics & Econ,EN28,ECON 1,ECON 100A,ECON 100B,ECON 100C,ECON 3,MATH 109,MATH 18,MATH 20A,MATH 20B,MATH 20C,MATH 20D,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,UD Major,,,,,,,,,,,,,,,,,,,,,
Business Economics,EN30,ECON 1,ECON 100A,ECON 100B,ECON 110B,ECON 120A,ECON 120B,ECON 3,ECON/POLI 5,MATH 20A (or 10A),MATH 20B (or 10B),MATH 20C (or 10C),MGT 100,MGT 16,MGT 160,MGT 162/162R,MGT 164,MGT 180,MGT 45,MGT 71,UD Elective,UD Elective*,UD Elective*,,,,,,,,,,,,,,,,,,,,,
Education Sciences,ED25,EDS 102,EDS 103,EDS 139,EDS 139,EDS 139,EDS Capstone,EDS Capstone,EDS LD,EDS UD,EDS UD,EDS UD,EDS UD Elective,EDS UD Elective,EDS UD Elective,EDS UD: Intro to Learning Contexts,UD ELECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Engineering,EC26,CSE 100,CSE 101,CSE 11,CSE 110,CSE 12,CSE 120,CSE 140,CSE 140L,CSE 141,CSE 141L,CSE 15L,CSE 20,CSE 21,CSE 30,CSE LD ELECTIVE,CSE Technical Elective,CSE/ECE Elective,CSE/ECE Elective,CSE/ECE Elective,CSE/ECE Elective,CSE/ECE Elective,ECE 101,ECE 108,ECE 109,ECE 111,ECE 35,ECE 45,ECE 65,MATH 18,MATH 20A,MATH 20B,MATH 20C,MATH 20D,PHYS 2A,PHYS 2B,PHYS 2C,,,,,,,
Electrical Engineering,EC27,CHEM 6A,DESIGN,ECE 100,ECE 101,ECE 102*,ECE 103*,ECE 107*,ECE 109,ECE 15,ECE 164*,ECE 165*,ECE 166*,ECE 25,ECE 30,ECE 35,ECE 45,ECE 5,ECE 65,MATH 18,MATH 20A,MATH 20B,MATH 20C,MATH 20D,MATH 20E,PHYS 2A,PHYS 2B,PHYS 2C,PHYS 2D*,PROFESSIONAL ELECTIVE 1,PROFESSIONAL ELECTIVE 2,TECHNICAL ELECTIVE 1,TECHNICAL ELECTIVE 2,TECHNICAL ELECTIVE 3,TECHNICAL ELECTIVE 4,TECHNICAL ELECTIVE 5,,,,,,,,
Engineering Physics,EC28,CHEM 6A,Depth 1,Depth 2,ECE 100,ECE 101,ECE 102,ECE 103,ECE 107*,ECE 109,ECE 15,ECE 25,ECE 30,ECE 35,ECE 45,ECE 65,Engineering Design,MATH 110,MATH 18,MATH 20A,MATH 20B,MATH 20C,MATH 20D,MATH 20E,PHYS 110A (offered fall only),PHYS 130A*(offered spring only),PHYS 130B*(offered fall only),PHYS 140A(offered fall only),PHYS 2CL,PHYS 2DL,PHYS 4A,PHYS 4B,PHYS 4C,PHYS 4D,PHYS 4E,Professional Elective 1,Professional Elective 2,Professional Elective 3,Technical Elective 1,Technical Elective 2,,,,
Electrical Engin & Society,EC37,CHEM 6A,DEPTH #1,DEPTH #2,DEPTH #3,DEPTH #4,DEPTH #5,DEPTH #6,ECE 100,ECE 101,ECE 102,ECE 103,ECE 107,ECE 109,ECE 15,ECE 25,ECE 30,ECE 35,ECE 45,ECE 65,Engineering Design,MATH 18,MATH 20A,MATH 20B,MATH 20C,MATH 20D,MATH 20E,PHYS 2A,PHYS 2B,PHYS 2C,PHYS 2D,S/H ELECTIVE,S/H ELECTIVE,Technical Elective 1,Technical Elective 2,Technical Elective 3,Technical Elective 4,,,,,,,
